"","Kod","Nazwa","Miasta...wieś","Płeć","Przyczyny.zgonów","Rok","Wartosc","Jednostka.miary","Atrybut","X"
"1",0,"POLSKA","ogółem","ogółem","ogółem",2024,1087.5,"-",NA,NA
"2",0,"POLSKA","ogółem","ogółem","choroby zakaźne i pasożytnicze",2024,5.8,"-",NA,NA
"3",0,"POLSKA","ogółem","ogółem","gruźlica",2024,1.2,"-",NA,NA
"4",0,"POLSKA","ogółem","ogółem","nowotwory",2024,293.6,"-",NA,NA
"5",0,"POLSKA","ogółem","ogółem","nowotwory złośliwe",2024,265.4,"-",NA,NA
"6",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy żołądka",2024,11.4,"-",NA,NA
"7",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy trzustki",2024,13.6,"-",NA,NA
"8",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,58.4,"-",NA,NA
"9",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy sutka",2024,18.5,"-",NA,NA
"10",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy szyjki macicy",2024,3.5,"-",NA,NA
"11",0,"POLSKA","ogółem","ogółem","nowotwór złośliwy gruczołu krokowego",2024,15.9,"-",NA,NA
"12",0,"POLSKA","ogółem","ogółem","białaczka",2024,7.1,"-",NA,NA
"13",0,"POLSKA","ogółem","ogółem","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,25.9,"-",NA,NA
"14",0,"POLSKA","ogółem","ogółem","cukrzyca",2024,24.4,"-",NA,NA
"15",0,"POLSKA","ogółem","ogółem","zaburzenia psychiczne i zaburzenia zachowania",2024,13.4,"-",NA,NA
"16",0,"POLSKA","ogółem","ogółem","choroby układu nerwowego i narządów zmysłów",2024,21.4,"-",NA,NA
"17",0,"POLSKA","ogółem","ogółem","choroba Alzheimera",2024,8.5,"-",NA,NA
"18",0,"POLSKA","ogółem","ogółem","choroby układu krążenia",2024,400.2,"-",NA,NA
"19",0,"POLSKA","ogółem","ogółem","choroba nadciśnieniowa",2024,31.3,"-",NA,NA
"20",0,"POLSKA","ogółem","ogółem","choroba niedokrwienna serca",2024,177.8,"-",NA,NA
"21",0,"POLSKA","ogółem","ogółem","ostry zawał serca",2024,28,"-",NA,NA
"22",0,"POLSKA","ogółem","ogółem","choroby naczyń mózgowych",2024,75.2,"-",NA,NA
"23",0,"POLSKA","ogółem","ogółem","miażdżyca",2024,33.6,"-",NA,NA
"24",0,"POLSKA","ogółem","ogółem","choroby układu oddechowego",2024,84.7,"-",NA,NA
"25",0,"POLSKA","ogółem","ogółem","choroby układu trawiennego",2024,52.3,"-",NA,NA
"26",0,"POLSKA","ogółem","ogółem","zwłóknienie i marskość wątroby",2024,5,"-",NA,NA
"27",0,"POLSKA","ogółem","ogółem","choroby układu moczowo-płciowego",2024,20.7,"-",NA,NA
"28",0,"POLSKA","ogółem","ogółem","ciąża, poród i połóg",2024,0,"-",NA,NA
"29",0,"POLSKA","ogółem","ogółem","stany rozpoczynające się w okresie okołoporodowym",2024,1.2,"-",NA,NA
"30",0,"POLSKA","ogółem","ogółem","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.6,"-",NA,NA
"31",0,"POLSKA","ogółem","ogółem","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,104.5,"-",NA,NA
"32",0,"POLSKA","ogółem","ogółem","zewnętrzne przyczyny zgonu",2024,49.3,"-",NA,NA
"33",0,"POLSKA","ogółem","ogółem","wypadki komunikacyjne",2024,6.6,"-",NA,NA
"34",0,"POLSKA","ogółem","ogółem","samobójstwa",2024,11.6,"-",NA,NA
